,molecule_id,mutated_before,well_id,leftUID,rightUID,id0,UID_left_mutation,UID_right_mutation
108,0,False,0,2758,22066,11364,0,0
109,0,False,0,11034,11034,11369,0,0
110,0,False,0,5525,5525,11435,0,0
111,0,False,0,346,22175,11582,0,0
112,0,False,0,173,22176,11584,0,0
113,0,False,0,2777,22218,11668,0,0
114,0,False,0,11114,11114,11689,0,0
115,0,False,0,5570,5570,11795,0,0
116,0,False,0,11188,11188,11985,0,0
117,0,False,0,11189,11189,11989,0,0
118,0,False,0,1402,22438,12108,0,0
119,0,False,0,1402,1402,12111,0,0
120,0,False,0,11258,11258,12265,0,0
121,0,False,0,1,22528,12288,0,0
122,0,False,0,1410,22566,12364,0,0
123,0,False,0,705,22568,12368,0,0
124,0,False,0,11317,11317,12501,0,0
125,0,False,0,5678,5678,12659,0,0
126,0,False,0,5693,5693,12779,0,0
127,0,False,0,11390,11390,12793,0,0
128,0,False,0,1424,22790,12812,0,0
129,0,False,0,5704,5704,12867,0,0
130,0,False,0,11422,11422,12921,0,0
131,0,False,0,5711,22845,12922,0,0
132,0,False,0,714,22856,12944,0,0
133,0,False,0,357,22878,12988,0,0
134,0,False,0,717,717,13151,0,0
135,0,False,0,5770,5770,13395,0,0
136,0,False,0,5781,5781,13483,0,0
137,0,False,0,5794,23177,13586,0,0
138,0,False,0,5816,5816,13763,0,0
139,0,False,0,1456,1456,13839,0,0
140,0,False,0,11,23550,14332,0,0
141,0,False,0,5891,23565,14362,0,0
142,0,False,0,368,23583,14398,0,0
143,0,False,0,11802,11802,14441,0,0
144,0,False,0,2955,23642,14516,0,0
145,0,False,0,369,23646,14524,0,0
146,0,False,0,11832,11832,14561,0,0
147,0,False,0,92,23672,14576,0,0
148,0,False,0,2959,2959,14583,0,0
149,0,False,0,92,23676,14584,0,0
150,0,False,0,5921,5921,14603,0,0
151,0,False,0,1481,1481,14639,0,0
152,0,False,0,5931,23725,14682,0,0
153,0,False,0,5932,5932,14691,0,0
154,0,False,0,742,23756,14744,0,0
155,0,False,0,93,23934,15100,0,0
156,0,False,0,748,23951,15134,0,0
157,0,False,0,375,24024,15280,0,0
158,0,False,0,6018,24073,15378,0,0
159,0,False,0,12074,12074,15529,0,0
160,0,False,0,3032,24259,15750,0,0
161,0,False,0,12148,12148,15825,0,0
162,0,False,0,12177,12177,15941,0,0
163,0,False,0,12178,12178,15945,0,0
164,0,False,0,6138,24553,16338,0,0
165,0,False,0,768,24588,16408,0,0
166,0,False,0,3080,3080,16519,0,0
167,0,False,0,1545,24724,16680,0,0
168,0,False,0,3100,3100,16839,0,0
169,0,False,0,48,24830,16892,0,0
170,0,False,0,3113,3113,17047,0,0
171,0,False,0,1557,1557,17071,0,0
172,0,False,0,1565,25047,17326,0,0
173,0,False,0,12539,12539,17389,0,0
174,0,False,0,1570,25127,17486,0,0
175,0,False,0,785,25132,17496,0,0
176,0,False,0,196,25151,17534,0,0
177,0,False,0,12666,12666,17897,0,0
178,0,False,0,99,25456,18144,0,0
179,0,False,0,3182,3182,18151,0,0
180,0,False,0,3204,25634,18500,0,0
181,0,False,0,3210,25683,18598,0,0
182,0,False,0,6424,6424,18627,0,0
183,0,False,0,6425,6425,18635,0,0
184,0,False,0,12892,12892,18801,0,0
185,0,False,0,12923,12923,18925,0,0
186,0,False,0,6489,6489,19147,0,0
187,0,False,0,13009,13009,19269,0,0
188,0,False,0,13051,13051,19437,0,0
189,0,False,0,6,26112,19456,0,0
190,0,False,0,6542,26169,19570,0,0
191,0,False,0,3272,26178,19588,0,0
192,0,False,0,818,26188,19608,0,0
193,0,False,0,13118,13118,19705,0,0
194,0,False,0,103,26495,20222,0,0
195,0,False,0,1658,26532,20296,0,0
196,0,False,0,6642,26569,20370,0,0
197,0,False,0,3327,26619,20470,0,0
198,0,False,0,1664,26631,20494,0,0
199,0,False,0,104,26748,20728,0,0
200,0,False,0,6691,6691,20763,0,0
201,0,False,0,13384,13384,20769,0,0
202,0,False,0,3361,26891,21014,0,0
203,0,False,0,6726,6726,21043,0,0
204,0,False,0,3369,3369,21143,0,0
205,0,False,0,105,27000,21232,0,0
206,0,False,0,13513,13513,21285,0,0
207,0,False,0,13529,13529,21349,0,0
208,0,False,0,13531,13531,21357,0,0
209,0,False,0,848,27144,21520,0,0
210,0,False,0,3396,27170,21572,0,0
211,0,False,0,6816,6816,21763,0,0
212,0,False,0,852,27279,21790,0,0
213,0,False,0,426,27280,21792,0,0
214,0,False,0,6820,6820,21795,0,0
215,0,False,0,13670,13670,21913,0,0
216,0,False,0,13689,13689,21989,0,0
217,0,False,0,3425,3425,22039,0,0
218,0,False,0,6868,27473,22178,0,0
219,0,False,0,429,27480,22192,0,0
220,0,False,0,3437,27499,22230,0,0
221,0,False,0,107,27504,22240,0,0
222,0,False,0,6890,27561,22354,0,0
223,0,False,0,13802,13802,22441,0,0
224,0,False,0,13852,13852,22641,0,0
225,0,False,0,3469,3469,22743,0,0
226,0,False,0,3472,3472,22791,0,0
227,0,False,0,1736,1736,22799,0,0
228,0,False,0,869,27820,22872,0,0
229,0,False,0,877,877,23391,0,0
230,0,False,0,1756,28100,23432,0,0
231,0,False,0,3520,28162,23556,0,0
232,0,False,0,3522,28178,23588,0,0
233,0,False,0,7062,7062,23731,0,0
234,0,False,0,110,28280,23792,0,0
235,0,False,0,7081,28325,23882,0,0
236,0,False,0,7089,7089,23947,0,0
237,0,False,0,3546,28370,23972,0,0
238,0,False,0,1774,28391,24014,0,0
239,0,False,0,3549,28395,24022,0,0
240,0,False,0,14202,14202,24041,0,0
241,0,False,0,7105,28421,24074,0,0
242,0,False,0,14243,14243,24205,0,0
243,0,False,0,3561,28490,24212,0,0
244,0,False,0,14248,14248,24225,0,0
245,0,False,0,3563,3563,24247,0,0
246,0,False,0,14262,14262,24281,0,0
247,0,False,0,3567,28539,24310,0,0
248,0,False,0,14281,14281,24357,0,0
249,0,False,0,3572,28579,24390,0,0
250,0,False,0,14307,14307,24461,0,0
251,0,False,0,7162,7162,24531,0,0
252,0,False,0,7194,7194,24787,0,0
253,0,False,0,14488,14488,25185,0,0
254,0,False,0,3624,28995,25222,0,0
255,0,False,0,113,29054,25340,0,0
256,0,False,0,7275,7275,25435,0,0
257,0,False,0,7302,29209,25650,0,0
258,0,False,0,7303,29213,25658,0,0
259,0,False,0,7331,7331,25883,0,0
260,0,False,0,3671,29371,25974,0,0
261,0,False,0,460,460,26175,0,0
262,0,False,0,14736,14736,26177,0,0
263,0,False,0,14773,14773,26325,0,0
264,0,False,0,7407,7407,26491,0,0
265,0,False,0,14820,14820,26513,0,0
266,0,False,0,464,29727,26686,0,0
267,0,False,0,14900,14900,26833,0,0
268,0,False,0,14948,14948,27025,0,0
269,0,False,0,14999,14999,27229,0,0
270,0,False,0,15025,15025,27333,0,0
271,0,False,0,3760,30083,27398,0,0
272,0,False,0,7530,7530,27475,0,0
273,0,False,0,235,30142,27516,0,0
274,0,False,0,3768,3768,27527,0,0
275,0,False,0,942,30158,27548,0,0
276,0,False,0,471,30172,27576,0,0
277,0,False,0,29,30176,27584,0,0
278,0,False,0,15133,15133,27765,0,0
279,0,False,0,7567,30269,27770,0,0
280,0,False,0,15172,15172,27921,0,0
281,0,False,0,948,948,27935,0,0
282,0,False,0,7595,7595,27995,0,0
283,0,False,0,3800,30402,28036,0,0
284,0,False,0,238,30496,28224,0,0
285,0,False,0,15280,15280,28353,0,0
286,0,False,0,15335,15335,28573,0,0
287,0,False,0,3834,30675,28582,0,0
288,0,False,0,1918,30692,28616,0,0
289,0,False,0,1920,30726,28684,0,0
290,0,False,0,7694,30777,28786,0,0
291,0,False,0,3853,30827,28886,0,0
